Company;Customer account;Account statement;Bank account;Notes;Payment ID type;Invoicing and delivery on hold;Cash discount;Created date and time;Address verification status required to accept transactions;Credit limit;Credit rating;Currency;Customer classification group;Customer group;The integration key for Dynamics Connector;Dimension;Direct debit mandate ID;Default inventory status ID;Created time;Modified time;Destination code;Mode of delivery;Delivery reason;Delivery terms;eInvoice;EAN;Total discount;Enterprise code;Enterprise number;Accepts express bill of lading;Factoring account;Comments;Federal/Non-Federal indicator;Fine code;Fiscal code;Demand planning;UPS zone;On a customer invoice;Associated payment attachment on account statement;On a collection letter;On a free text invoice;On an interest note;On a project invoice;ID number;Prices include sales tax;Create indirect order lines;Create intercompany orders;Direct delivery;Warehouse;Site;Invoice account;Invoice address;1099-C indicator;Line discount;Line of business;Employee responsible;Mandatory credit limit;Modified by;Modified date and time;One-time customer;Name;Payment day;Method of payment;Payment schedule;Payment specification;Terms of payment;Product model;Customer rebate group;Freight accrual;Customer TMA group;Price group;Record-ID;Case tagging;Item tagging;Pallet tagging;Receipt calendar;Sales district;Sales group;Sales order pool;Segment;Carrier account number;Account code;Blind shipment;Charge fuel surcharge;Carrier ID;Statistics group;Subsegment;Supplementary item;Entity ID;Version;Table ID;Sales tax group;Packing duty license number;Use cash discount;Purchase request required;Tax exempt number;Vendor account;History available
brmf;BRMF-000001;Always;;;;No;;11/08/2012 18:56;Always accept transaction;0.00;;BRL;;010;{084B2E91-9EEA-44C8-9862-9EBB00BFD218};0;;;12:00:00 AM;12:00:00 AM;;;;;No;;;;;No;;;;;;No;;;;;;;;;No;No;No;No;;;;Invoice account;No;;;;No;Admin;08/30/2013 16:50;No;Southridge Video Brasil Ltda;;;;;;;;No;;;22,565,424,059;No;No;No;;;;;;;;No;No;;;;;{00000000-0000-0000-0000-000000000000};0;77;;;Normal;No;;;Web orders
brmf;BRMF-000002;Always;;;;No;;11/08/2012 18:55;Always accept transaction;0.00;;BRL;;010;{5DF46616-016D-4D14-8BD3-0795D32182D7};0;;;12:00:00 AM;12:00:00 AM;;;;;No;;;;;No;;;;;;No;;;;;;;;;No;No;No;No;;;;Invoice account;No;;;;No;Admin;06/06/2013 20:38;No;A. Dantum Brasil Ltda;;;;;;;;No;;;22,565,424,058;No;No;No;;;;;;;;No;No;;;;;{00000000-0000-0000-0000-000000000000};0;77;;;Normal;No;;;Web orders
brmf;BRMF-000003;Always;;;;No;;11/08/2012 20:13;Always accept transaction;0.00;;BRL;;020;{64B1BED1-1F38-4027-BC6B-2922B9E760DC};0;;;12:00:00 AM;12:00:00 AM;;;;;No;;;;;No;;;;;;No;;;;;;;;;No;No;No;No;;;;Invoice account;No;;;;No;Admin;06/06/2013 20:38;No;Litware Brasil Ltda;;;;;;;;No;;;22,565,424,070;No;No;No;;;;;;;;No;No;;;;;{00000000-0000-0000-0000-000000000000};0;77;;;Normal;No;;;Web orders
brmf;BRMF-000004;Always;;;;No;;11/08/2012 20:15;Always accept transaction;0.00;;BRL;;010;{645BD927-BB0A-4C9D-9029-201ECEC7685D};0;;;12:00:00 AM;12:00:00 AM;;;;;No;;;;;No;;;;;;No;;;;;;;;;No;No;No;No;;;;Invoice account;No;;;;No;Admin;06/06/2013 20:38;No;Alpine Ski House Brasil Ltda;;;;;;;;No;;;22,565,424,071;No;No;No;;;;;;;;No;No;;;;;{00000000-0000-0000-0000-000000000000};0;77;;;Normal;No;;;Web orders
brrt;BRRT-000001;Always;;;;No;;09/06/2014 22:50;Always accept transaction;0.00;;BRL;;010;{0A034C4F-54B6-4139-82DB-DA54D7F76D23};0;;;1:50:48 PM;1:50:48 PM;;;;;No;;;;;No;;;;;;No;;;;;;;;;No;No;No;No;;;;Invoice account;No;;;;No;adminbrr;09/06/2014 22:50;No;Default Retail Customer BRRT;;;;;;;;No;;;22,565,432,149;No;No;No;;;;;;;;No;No;;;;;{00000000-0000-0000-0000-000000000000};0;77;;;Normal;No;;;Web orders
brrt;BRRT-000002;Always;;;;No;;10/31/2014 22:06;Always accept transaction;0.00;;BRL;;010;{2AE0E723-4BCB-4EF1-93AB-10E25222BA35};52,565,468,260;;;2:06:01 PM;2:06:01 PM;;;;;No;;;;;No;;;;;;No;;;;;;;;;No;No;No;No;W01MSP;01MSP;;Invoice account;No;;;;No;adminbrr;10/31/2014 22:06;No;A. Dantum Brasil Ltda;;;;;;;;No;;;22,565,432,154;No;No;No;;;;;;;;No;No;;;;;{00000000-0000-0000-0000-000000000000};0;77;;;Normal;No;;;Web orders
brsi;BRMF-000001;Always;;;;No;;09/09/2014 17:21;Always accept transaction;0.00;;BRL;;010;{00000000-0000-0000-0000-000000000000};0;;;8:21:47 AM;8:21:47 AM;;;;;No;;;;;No;;;;;;No;;;;;;;;;No;No;No;No;;;;Invoice account;No;;;;No;cadmin;09/09/2014 17:21;No;Southridge Video Brasil Ltda;;;;;;;;No;;;22,565,432,150;No;No;No;;;;;;;;No;No;;;;;{00000000-0000-0000-0000-000000000000};0;77;;;Normal;No;;;Web orders
brsi;BRMF-000002;Always;;;;No;;09/09/2014 17:21;Always accept transaction;0.00;;BRL;;010;{00000000-0000-0000-0000-000000000000};0;;;8:21:47 AM;8:21:47 AM;;;;;No;;;;;No;;;;;;No;;;;;;;;;No;No;No;No;;;;Invoice account;No;;;;No;cadmin;09/09/2014 17:21;No;A. Dantum Brasil Ltda;;;;;;;;No;;;22,565,432,151;No;No;No;;;;;;;;No;No;;;;;{00000000-0000-0000-0000-000000000000};0;77;;;Normal;No;;;Web orders
brsi;BRMF-000003;Always;;;;No;;09/09/2014 17:21;Always accept transaction;0.00;;BRL;;020;{18FA7F72-EB2A-4060-92BD-A6954355D9D9};0;;;8:21:47 AM;8:21:47 AM;;;;;No;;;;;No;;;;;;No;;;;;;;;;No;No;No;No;;;;Invoice account;No;;;;No;cadmin;09/09/2014 22:44;No;Litware Brasil Ltda;;;;;;;;No;;;22,565,432,152;No;No;No;;;;;;;;No;No;;;;;{00000000-0000-0000-0000-000000000000};0;77;;;Normal;No;;;Web orders
brsi;BRMF-000004;Always;;;;No;;09/09/2014 17:21;Always accept transaction;0.00;;BRL;;010;{00000000-0000-0000-0000-000000000000};0;;;8:21:47 AM;8:21:47 AM;;;;;No;;;;;No;;;;;;No;;;;;;;;;No;No;No;No;;;;Invoice account;No;;;;No;cadmin;09/09/2014 17:21;No;Alpine Ski House Brasil Ltda;;;;;;;;No;;;22,565,432,153;No;No;No;;;;;;;;No;No;;;;;{00000000-0000-0000-0000-000000000000};0;77;;;Normal;No;;;Web orders
